iter	Passed	Remaining
0	58	11594
1	60	5976
2	62	4088
3	64	3143
4	66	2578
5	68	2201
6	70	1934
7	71	1719
8	73	1558
9	75	1431
10	77	1325
11	78	1232
12	80	1151
13	81	1088
14	83	1028
15	84	974
16	87	939
17	89	900
18	90	865
19	92	835
20	94	807
21	96	777
22	98	755
23	99	728
24	101	709
25	103	690
26	105	673
27	107	657
28	109	644
29	111	629
30	112	615
31	114	602
32	116	590
33	118	579
34	121	571
35	123	561
36	125	551
37	127	542
38	129	533
39	130	523
40	132	515
41	134	507
42	136	498
43	138	491
44	140	483
45	142	475
46	144	469
47	146	462
48	148	456
49	149	449
50	152	445
51	154	440
52	156	434
53	158	428
54	160	423
55	162	417
56	164	412
57	166	407
58	168	402
59	170	397
60	172	392
61	173	387
62	175	382
63	177	377
64	179	372
65	181	368
66	183	363
67	185	359
68	187	355
69	189	351
70	191	347
71	192	343
72	194	339
73	196	334
74	198	330
75	199	326
76	201	322
77	203	318
78	205	314
79	207	310
80	209	307
81	210	303
82	212	300
83	214	296
84	216	293
85	218	289
86	220	286
87	222	282
88	224	279
89	226	276
90	227	272
91	229	269
92	231	266
93	233	263
94	235	260
95	237	257
96	239	254
97	241	251
98	242	247
99	244	244
100	246	241
101	248	238
102	249	235
103	251	232
104	253	229
105	254	226
106	256	223
107	258	220
108	260	217
109	262	214
110	264	212
111	266	209
112	268	206
113	269	202
114	269	199
115	272	197
116	274	194
117	275	191
118	277	189
119	279	186
120	281	183
121	283	181
122	285	178
123	287	176
124	289	173
125	291	171
126	293	168
127	295	166
128	297	163
129	299	161
130	301	158
131	303	156
132	305	153
133	307	151
134	309	148
135	311	146
136	312	143
137	314	141
138	316	139
139	318	136
140	320	134
141	322	131
142	324	129
143	326	126
144	328	124
145	330	122
146	331	119
147	333	117
148	335	114
149	337	112
150	338	109
151	340	107
152	342	105
153	344	102
154	346	100
155	348	98
156	350	96
157	352	93
158	354	91
159	356	89
160	358	86
161	360	84
162	362	82
163	363	79
164	365	77
165	367	75
166	369	73
167	371	70
168	373	68
169	375	66
170	377	64
171	379	61
172	381	59
173	383	57
174	384	54
175	386	52
176	388	50
177	390	48
178	392	46
179	394	43
180	396	41
181	398	39
182	400	37
183	402	34
184	404	32
185	406	30
186	408	28
187	410	26
188	412	23
189	414	21
190	415	19
191	417	17
192	420	15
193	421	13
194	423	10
195	425	8
196	427	6
197	429	4
198	431	2
199	433	0
